epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6046.49,1.23278,0.86345,0.01689,0.74169,0.62644,0.66877,0.26733,2.24292,1.65661,0.03597,0.000990365,0.000990365,0.000990365
43,6216.61,1.22846,0.85435,0.01673,0.75717,0.68093,0.71175,0.30362,2.2554,1.35445,0.03564,0.000973861,0.000973861,0.000973861
44,6378.76,1.22239,0.84941,0.01656,0.785,0.69096,0.71428,0.30833,2.16393,1.45068,0.0346,0.000957358,0.000957358,0.000957358
45,6543.61,1.21113,0.83939,0.01647,0.73887,0.68217,0.71325,0.31712,2.15673,1.61053,0.03278,0.000940855,0.000940855,0.000940855
46,6718.08,1.20346,0.84436,0.01628,0.76376,0.70642,0.7237,0.31049,2.13924,1.44616,0.0336,0.000924352,0.000924352,0.000924352
47,6890.72,1.20836,0.81278,0.01631,0.76676,0.68472,0.72556,0.31573,2.18867,1.45634,0.0345,0.000907848,0.000907848,0.000907848
48,7050.89,1.20361,0.81904,0.01628,0.78834,0.64027,0.72058,0.30846,2.08118,1.56036,0.03278,0.000891345,0.000891345,0.000891345
49,7219.58,1.19269,0.80685,0.01616,0.75314,0.62846,0.69644,0.28828,2.11353,1.67221,0.03195,0.000874842,0.000874842,0.000874842
50,7379.58,1.17375,0.80563,0.01601,0.76099,0.66239,0.72173,0.30013,2.21931,1.52961,0.03498,0.000858338,0.000858338,0.000858338
51,7544.83,1.1719,0.76725,0.0155,0.75653,0.64924,0.70148,0.28687,2.19746,1.51819,0.03385,0.000841835,0.000841835,0.000841835
52,7713.36,1.1688,0.77856,0.01564,0.80151,0.66632,0.7314,0.31522,2.18596,1.4422,0.03327,0.000825332,0.000825332,0.000825332
53,7891.76,1.15766,0.79118,0.01572,0.79854,0.66512,0.71671,0.30891,2.0844,1.42881,0.03174,0.000808828,0.000808828,0.000808828
