epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11577.8,1.44088,1.40441,0.01821,0.5654,0.19674,0.22011,0.09024,2.46443,3.89075,0.02712,0.0011882,0.0011882,0.0011882
43,11880,1.43135,1.40904,0.01766,0.57307,0.1158,0.13878,0.05653,2.47851,4.14251,0.02732,0.0011684,0.0011684,0.0011684
44,12191.7,1.43533,1.36591,0.01789,0.58553,0.17711,0.20219,0.08514,2.39789,3.91901,0.02626,0.0011486,0.0011486,0.0011486
45,12466.7,1.42864,1.37152,0.01784,0.60629,0.19755,0.21692,0.09241,2.4814,3.90355,0.02716,0.0011288,0.0011288,0.0011288
46,12781,1.41925,1.35594,0.01776,0.56321,0.26975,0.26629,0.10469,2.56456,3.72692,0.0278,0.001109,0.001109,0.001109
47,13102.7,1.41009,1.35348,0.01734,0.64503,0.1535,0.19669,0.07941,2.48826,4.00268,0.02786,0.0010892,0.0010892,0.0010892
48,13501.9,1.40808,1.37535,0.01762,0.57329,0.11989,0.14686,0.05431,2.50824,4.25271,0.02817,0.0010694,0.0010694,0.0010694
49,13885.6,1.40702,1.36119,0.0175,0.61935,0.16213,0.19835,0.07784,2.55594,4.00816,0.02811,0.0010496,0.0010496,0.0010496
50,14246.4,1.39963,1.37581,0.01747,0.558,0.16511,0.18172,0.07521,2.52987,4.0556,0.02824,0.0010298,0.0010298,0.0010298
51,14677.6,1.37688,1.30985,0.0168,0.55246,0.18668,0.20572,0.08332,2.51592,3.87224,0.02761,0.00101,0.00101,0.00101
